"__mclCluster","adj_P_Val","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","DiffExpressed","Eccentricity","GNC - Common","HUB","IsSingleNode","logFC","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","4.475381487164934E-6","3.9765625","0.1512778311727858","0.25147347740667975","0.175","16","UP","7","true","1","false","0.7743264444444444","KIF26B","8.0","0","16","0","0.9274009146341463","false","0","KIF26B","36498","0.16888297872340424"
"1","2.0542826656678245E-7","4.640625","0.0011910751516851855","0.21548821548821548","0.46153846153846156","13","UP","9","true",,"false","1.312839777777778","TOP2A","26.53846153846154","0","13","0","0.911204268292683","false","0","TOP2A","286","0.5276923076923077"
"1","2.617385037307924E-9","4.4375","0.05273112448062182","0.22535211267605634","0.2727272727272727","22","UP","8","true",,"false","1.3723915555555557","ITGA11","9.863636363636363","0","22","0","0.9161585365853658","false","0","ITGA11","17850","0.1896853146853147"
"2","3.764662980795996E-7","2.6951219512195124","0.09225048759128446","0.3710407239819004","0.13333333333333333","6","DOWN","5","true",,"false","-1.1597006666666667","UNC79","9.666666666666666","0","6","0","0.9152439024390244","false","0","UNC79","7528","0.2956989247311828"
"5","9.90803657102475E-6","2.9411764705882355","0.0","0.33999999999999997","0.0","1","DOWN","5","true",,"false","-0.8379095555555556","PDE8B","5.0","0","1","0","0.8058823529411765","false","0","PDE8B","0","0.0"
"1","1.1088605271034173E-5","5.3359375","4.397916911505465E-5","0.18740849194729137","0.5","4","UP","10","true",,"false","0.6791986666666667","NDC80","25.0","0","4","0","0.8942454268292683","false","0","NDC80","8","0.5755813953488372"
"1","6.883195353309747E-6","4.5390625","0.00817788110784781","0.22030981067125646","0.4601449275362319","24","UP","9","true",,"false","0.8212440000000001","NUF2","23.5","0","24","0","0.9136814024390244","false","0","NUF2","3108","0.4351851851851852"
"1","3.501739533300249E-5","4.875","0.0","0.20512820512820512","0.0","1","UP","8","true",,"false","0.6308753333333333","C5orf46","22.0","0","1","0","0.9054878048780488","false","0","C5orf46","0","0.0"
"2","1.051540243435282E-4","2.682926829268293","0.09234855200626525","0.3727272727272727","0.3333333333333333","4","DOWN","4","true","1","false","-0.9491937777777777","ST8SIA3","12.5","0","4","0","0.9158536585365853","false","0","ST8SIA3","3206","0.4083333333333333"
"1","1.912664044442449E-8","5.03125","0.0","0.19875776397515527","0.0","1","UP","8","false",,"false","1.425842222222222","IGFL2","9.0","0","1","0","0.9016768292682927","false","0","IGFL2","0","0.0"
"1","6.42171132422041E-6","5.125","0.0018688143613521798","0.1951219512195122","0.638095238095238","21","UP","10","true",,"false","0.6741055555555555","KIF18A","26.428571428571427","0","21","0","0.899390243902439","false","0","KIF18A","332","0.4894179894179894"
"2","1.5444104620267545E-4","3.024390243902439","0.06557027681555372","0.33064516129032256","0.17777777777777778","10","DOWN","6","true",,"false","-0.8099524444444443","NEUROD1","7.4","0","10","0","0.8987804878048781","false","0","NEUROD1","2180","0.22580645161290322"
"2","8.587645229804447E-6","3.6951219512195124","0.0","0.2706270627062706","1.0","3","DOWN","7","true",,"false","-1.2487919999999997","HOMER2","14.666666666666666","0","3","0","0.8652439024390244","false","0","HOMER2","0","0.5866666666666667"
"1","2.7271528799732775E-7","4.3984375","0.0","0.22735346358792186","1.0","2","UP","6","true",,"false","0.9195153333333332","LDHA","7.5","0","2","0","0.9171112804878049","false","0","LDHA","0","0.625"
"1","2.4916059289329216E-6","4.5234375","0.01780933689724834","0.22107081174438686","0.39384615384615385","26","UP","9","true",,"false","0.674876","CHEK1","21.53846153846154","0","26","0","0.9140625","false","0","CHEK1","3950","0.39886039886039887"
"2","8.76036015243343E-6","3.1463414634146343","0.0110395943570563","0.3178294573643411","0.0","2","DOWN","5","false",,"false","-0.6377480000000001","C1orf168","8.0","0","2","0","0.8926829268292682","false","0","C1orf168","586","0.5"
"1","3.642819219111369E-9","4.0390625","0.08381892022536637","0.24758220502901354","0.16666666666666666","9","UP","7","true",,"false","1.4163264444444446","ADAMTS12","10.0","0","9","0","0.9258765243902439","false","0","ADAMTS12","18160","0.2196969696969697"
