"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"47.3","0.25","interacts with","COL1A2 (interacts with) ITGA11","false","interacts with","COL1A2 (interacts with) ITGA11","0.8281"
"19.39685477920772",,"interacts with","MXRA5 (interacts with) MXRA5P1","false","interacts with","MXRA5 (interacts with) MXRA5P1","0.9005"
"182.76749712276032","0.3333333432674408","interacts with","COL1A2 (interacts with) KIF26B","false","interacts with","COL1A2 (interacts with) KIF26B","0.8401"
"15.98333333333333","0.3333333432674408","interacts with","MXRA5 (interacts with) NOX4","false","interacts with","MXRA5 (interacts with) NOX4","0.8682"
"15.615110004562338","0.3333333432674408","interacts with","AMBP (interacts with) SLC17A4","false","interacts with","AMBP (interacts with) SLC17A4","0.8819"
"32.00083045609361","0.3333333432674408","interacts with","COL1A2 (interacts with) NTM","false","interacts with","COL1A2 (interacts with) NTM","0.8309"
"32.03245438771755","0.25","interacts with","MXRA5 (interacts with) NTM","false","interacts with","MXRA5 (interacts with) NTM","0.8112"
"65.38030303030303","0.3333333432674408","interacts with","COL3A1 (interacts with) ITGA11","false","interacts with","COL3A1 (interacts with) ITGA11","0.8235"
"208.1936507936508","0.3333333432674408","interacts with","MXRA5 (interacts with) PALLD","false","interacts with","MXRA5 (interacts with) PALLD","0.8526"
"176.74285714285713","0.3333333432674408","interacts with","COL3A1 (interacts with) KIF26B","false","interacts with","COL3A1 (interacts with) KIF26B","0.8491"
"9.157051396503727","0.3333333432674408","interacts with","AMBP (interacts with) SLC3A1","false","interacts with","AMBP (interacts with) SLC3A1","0.87"
"256.0","0.25","interacts with","MXRA5 (interacts with) PDPN","false","interacts with","MXRA5 (interacts with) PDPN","0.832"
"18.18982683982684","0.3333333432674408","interacts with","COL3A1 (interacts with) NUAK1","false","interacts with","COL3A1 (interacts with) NUAK1","0.8374"
"19.328715728715725","0.010101010091602802","interacts with","MXRA5 (interacts with) PPAPDC1A","false","interacts with","MXRA5 (interacts with) PPAPDC1A","0.8289"
"58.0","0.25","interacts with","AMY2A (interacts with) GSTA2","false","interacts with","AMY2A (interacts with) GSTA2","0.8005"
"435.3041716144196","0.3333333432674408","interacts with","COL5A1 (interacts with) LOXL2","false","interacts with","COL5A1 (interacts with) LOXL2","0.8371"
"40.47916527916528","0.25","interacts with","MXRA5 (interacts with) RUNX2","false","interacts with","MXRA5 (interacts with) RUNX2","0.8669"
"219.188984873056","0.3333333432674408","interacts with","COL5A1 (interacts with) NTM","false","interacts with","COL5A1 (interacts with) NTM","0.8158"
"46.17201368462979","0.25","interacts with","MXRA5 (interacts with) SUGCT","false","interacts with","MXRA5 (interacts with) SUGCT","0.8414"
"135.07347640491605","0.3333333432674408","interacts with","COL5A1 (interacts with) NUAK1","false","interacts with","COL5A1 (interacts with) NUAK1","0.8469"
"10.202388134741074",,"interacts with","MXRA5P1 (interacts with) PPAPDC1A","false","interacts with","MXRA5P1 (interacts with) PPAPDC1A","0.8229"
"22.294871794871796",,"interacts with","ANGPTL1 (interacts with) ASPA","false","interacts with","ANGPTL1 (interacts with) ASPA","0.8369"
